"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Foreign born; Entered 2010 or later!!Estimate","United States!!Foreign born; Entered 2010 or later!!Margin of Error","United States!!Foreign born; Entered 2000 to 2009!!Estimate","United States!!Foreign born; Entered 2000 to 2009!!Margin of Error","United States!!Foreign born; Entered before 2000!!Estimate","United States!!Foreign born; Entered before 2000!!Margin of Error"
"Foreign-born population","43,028,127","±123,858","6,635,383","±39,036","11,887,382","±56,163","24,505,362","±53,176"
"    CITIZENSHIP","","","","","","","",""
"        Naturalized citizen","48.1%","±0.2","8.7%","±0.1","32.7%","±0.2","66.2%","±0.2"
"        Not a citizen","51.9%","±0.2","91.3%","±0.1","67.3%","±0.2","33.8%","±0.2"
"    WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"        Foreign-born population excluding population born at sea","43,027,453","±123,851","6,635,096","±39,038","11,887,320","±56,167","24,505,037","±53,176"
"        Europe","11.1%","±0.1","9.0%","±0.1","7.8%","±0.1","13.3%","±0.1"
"        Asia","30.5%","±0.1","42.7%","±0.2","28.6%","±0.1","28.1%","±0.1"
"        Africa","4.7%","±0.1","8.0%","±0.1","6.3%","±0.1","3.1%","±0.1"
"        Oceania","0.6%","±0.1","0.9%","±0.1","0.6%","±0.1","0.5%","±0.1"
"        Latin America","51.2%","±0.1","37.4%","±0.2","55.4%","±0.1","52.8%","±0.1"
"        Northern America","1.9%","±0.1","2.1%","±0.1","1.3%","±0.1","2.2%","±0.1"
"    SEX AND AGE","","","","","","","",""
"        Male","48.7%","±0.1","49.6%","±0.1","48.8%","±0.1","48.4%","±0.1"
"        Female","51.3%","±0.1","50.4%","±0.1","51.2%","±0.1","51.6%","±0.1"
"        Under 5 years","0.7%","±0.1","4.2%","±0.1","(X)","(X)","(X)","(X)"
"        5 to 17 years","5.2%","±0.1","14.7%","±0.1","9.8%","±0.1","0.4%","±0.1"
"        18 to 24 years","7.1%","±0.1","16.7%","±0.1","10.6%","±0.1","2.8%","±0.1"
"        25 to 44 years","39.2%","±0.1","45.5%","±0.2","54.9%","±0.1","29.9%","±0.1"
"        45 to 54 years","19.1%","±0.1","8.3%","±0.1","13.4%","±0.1","24.7%","±0.1"
"        55 to 64 years","13.9%","±0.1","5.4%","±0.1","6.4%","±0.1","19.9%","±0.1"
"        65 to 74 years","8.6%","±0.1","3.5%","±0.1","3.0%","±0.1","12.6%","±0.1"
"        75 to 84 years","4.5%","±0.1","1.4%","±0.1","1.4%","±0.1","6.9%","±0.1"
"        85 years and over","1.7%","±0.1","0.3%","±0.1","0.4%","±0.1","2.8%","±0.1"
"        Median age (years)","43.9","±0.2","29.7","±0.2","35.2","±0.1","51.7","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","97.8%","±0.1","97.2%","±0.1","97.9%","±0.1","97.9%","±0.1"
"            White","46.7%","±0.1","39.4%","±0.2","45.1%","±0.2","49.5%","±0.1"
"            Black or African American","8.9%","±0.1","11.0%","±0.1","9.9%","±0.1","7.9%","±0.1"
"            American Indian and Alaska Native","0.4%","±0.1","0.3%","±0.1","0.4%","±0.1","0.4%","±0.1"
"            Asian","26.5%","±0.1","35.7%","±0.2","25.2%","±0.1","24.7%","±0.1"
"            Native Hawaiian and Other Pacific Islander","0.3%","±0.1","0.3%","±0.1","0.3%","±0.1","0.2%","±0.1"
"            Some other race","14.9%","±0.1","10.5%","±0.1","17.0%","±0.1","15.2%","±0.1"
"        Two or more races","2.2%","±0.1","2.8%","±0.1","2.1%","±0.1","2.1%","±0.1"
"        Hispanic or Latino origin (of any race)","45.1%","±0.1","32.3%","±0.2","49.8%","±0.1","46.3%","±0.1"
"        White alone, not Hispanic or Latino","18.1%","±0.1","18.6%","±0.2","13.8%","±0.1","20.0%","±0.1"
"    HOUSEHOLD TYPE","","","","","","","",""
"        In married-couple family","63.1%","±0.2","59.9%","±0.3","63.3%","±0.3","63.8%","±0.2"
"        In other households","35.4%","±0.2","36.9%","±0.3","35.5%","±0.3","34.9%","±0.2"
"    Average  household size","3.34","±0.01","2.98","±0.02","3.58","±0.02","3.30","±0.01"
"    Average family size","3.81","±0.01","3.50","±0.02","3.93","±0.02","3.81","±0.01"
"MARITAL STATUS","","","","","","","",""
"    Population 15  years and over","41,309,583","±120,419","5,634,010","±33,862","11,178,059","±54,507","24,497,514","±53,202"
"        Never married","24.6%","±0.1","39.8%","±0.3","33.4%","±0.2","17.0%","±0.1"
"        Now married, except separated","59.2%","±0.2","52.2%","±0.3","55.8%","±0.2","62.3%","±0.2"
"        Divorced or separated","11.0%","±0.1","5.2%","±0.1","8.4%","±0.1","13.5%","±0.1"
