"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","321,004,407","*****"
"    Native:","277,976,280","±123,808"
"        Born in state of residence","187,762,476","±63,267"
"        Born in other state in the United States:","85,320,418","±107,373"
"            Northeast","20,255,864","±48,159"
"            Midwest","22,934,044","±44,190"
"            South","26,565,882","±47,301"
"            West","15,564,628","±30,291"
"        Born outside the United States:","4,893,386","±20,169"
"            Puerto Rico","1,716,971","±11,065"
"            U.S. Island Areas","208,973","±4,165"
"            Born abroad of American parent(s)","2,967,442","±16,801"
"    Foreign born:","43,028,127","±123,858"
"        Naturalized U.S. citizen","20,690,362","±32,310"
"            Europe","3,094,094","±14,145"
"            Asia","7,680,272","±19,033"
"            Africa","1,098,243","±11,053"
"            Oceania","95,647","±2,812"
"            Latin America","8,335,616","±26,830"
"            Northern America","386,251","±4,467"
"        Not a U.S. citizen","22,337,765","±129,209"
"            Europe","1,700,525","±10,994"
"            Asia","5,433,562","±32,495"
"            Africa","939,254","±11,698"
"            Oceania","151,018","±3,656"
"            Latin America","13,673,655","±95,602"
"            Northern America","439,316","±4,848"
