"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","301,150,892","±3,777"
"    5 to 17 years:","53,747,764","±5,382"
"        Speak only English","41,878,918","±49,238"
"        Speak Spanish:","8,543,454","±37,453"
"            Speak English ""very well""","6,863,027","±41,247"
"            Speak English ""well""","1,169,279","±9,287"
"            Speak English ""not well""","424,873","±6,616"
"            Speak English ""not at all""","86,275","±2,692"
"        Speak other Indo-European languages:","1,484,565","±12,355"
"            Speak English ""very well""","1,204,679","±11,560"
"            Speak English ""well""","184,224","±3,865"
"            Speak English ""not well""","78,480","±2,122"
"            Speak English ""not at all""","17,182","±995"
"        Speak Asian and Pacific Island languages:","1,292,046","±8,155"
"            Speak English ""very well""","963,665","±7,898"
"            Speak English ""well""","231,008","±3,288"
"            Speak English ""not well""","88,971","±2,421"
"            Speak English ""not at all""","8,402","±760"
"        Speak other languages:","548,781","±9,845"
"            Speak English ""very well""","441,853","±8,780"
"            Speak English ""well""","71,538","±2,531"
"            Speak English ""not well""","29,682","±1,781"
"            Speak English ""not at all""","5,708","±745"
"    18 to 64 years:","199,670,739","±5,617"
"        Speak only English","154,387,092","±118,894"
"        Speak Spanish:","27,879,940","±70,915"
"            Speak English ""very well""","15,277,189","±33,041"
"            Speak English ""well""","5,072,295","±20,579"
"            Speak English ""not well""","5,056,004","±37,892"
"            Speak English ""not at all""","2,474,452","±27,546"
"        Speak other Indo-European languages:","7,477,445","±34,604"
"            Speak English ""very well""","5,218,552","±25,148"
"            Speak English ""well""","1,503,908","±11,151"
"            Speak English ""not well""","624,127","±8,827"
"            Speak English ""not at all""","130,858","±3,568"
"        Speak Asian and Pacific Island languages:","7,634,657","±16,025"
"            Speak English ""very well""","4,110,519","±13,742"
"            Speak English ""well""","2,051,593","±10,694"
"            Speak English ""not well""","1,187,363","±9,680"
"            Speak English ""not at all""","285,182","±6,042"
"        Speak other languages:","2,291,605","±21,327"
"            Speak English ""very well""","1,567,562","±15,956"
"            Speak English ""well""","481,147","±6,603"
"            Speak English ""not well""","191,520","±4,187"
"            Speak English ""not at all""","51,376","±2,442"
"    65 years and over:","47,732,389","±4,845"
"        Speak only English","40,663,689","±24,731"
"        Speak Spanish:","3,345,887","±8,739"
"            Speak English ""very well""","1,271,183","±6,697"
"            Speak English ""well""","626,512","±5,646"
"            Speak English ""not well""","738,453","±7,150"
"            Speak English ""not at all""","709,739","±8,993"
"        Speak other Indo-European languages:","1,945,665","±12,444"
"            Speak English ""very well""","1,049,722","±6,182"
"            Speak English ""well""","413,517","±4,906"
"            Speak English ""not well""","331,773","±4,887"
"            Speak English ""not at all""","150,653","±4,072"
"        Speak Asian and Pacific Island languages:","1,482,384","±5,755"
"            Speak English ""very well""","440,650","±4,526"
"            Speak English ""well""","369,728","±4,139"
"            Speak English ""not well""","422,060","±4,353"
"            Speak English ""not at all""","249,946","±4,509"
"        Speak other languages:","294,764","±4,247"
"            Speak English ""very well""","158,171","±3,185"
"            Speak English ""well""","62,218","±1,562"
"            Speak English ""not well""","46,873","±1,638"
"            Speak English ""not at all""","27,502","±1,478"
