"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","301,150,892","±3,777"
"    Speak only English","236,929,699","±184,625"
"    Spanish:","39,769,281","±111,096"
"        Speak English ""very well""","23,411,399","±61,637"
"        Speak English less than ""very well""","16,357,882","±60,449"
"    French (incl. Cajun):","1,203,941","±9,736"
"        Speak English ""very well""","958,091","±8,288"
"        Speak English less than ""very well""","245,850","±4,366"
"    Haitian:","824,884","±14,377"
"        Speak English ""very well""","489,302","±9,746"
"        Speak English less than ""very well""","335,582","±7,166"
"    Italian:","610,253","±7,181"
"        Speak English ""very well""","446,413","±6,143"
"        Speak English less than ""very well""","163,840","±3,283"
"    Portuguese:","720,092","±9,218"
"        Speak English ""very well""","461,090","±7,597"
"        Speak English less than ""very well""","259,002","±5,080"
"    German:","936,083","±8,497"
"        Speak English ""very well""","794,611","±7,168"
"        Speak English less than ""very well""","141,472","±3,242"
"    Yiddish, Pennsylvania Dutch or other West Germanic languages:","484,057","±6,758"
"        Speak English ""very well""","343,935","±6,060"
"        Speak English less than ""very well""","140,122","±3,078"
"    Greek:","282,863","±4,955"
"        Speak English ""very well""","210,378","±4,143"
"        Speak English less than ""very well""","72,485","±2,446"
"    Russian:","907,362","±9,812"
"        Speak English ""very well""","505,575","±6,176"
"        Speak English less than ""very well""","401,787","±6,352"
"    Polish:","534,704","±6,892"
"        Speak English ""very well""","326,993","±5,108"
"        Speak English less than ""very well""","207,711","±3,747"
"    Serbo-Croatian:","246,471","±5,382"
"        Speak English ""very well""","157,280","±4,243"
"        Speak English less than ""very well""","89,191","±2,489"
"    Ukrainian or other Slavic languages:","323,804","±5,663"
"        Speak English ""very well""","203,566","±3,912"
"        Speak English less than ""very well""","120,238","±3,176"
"    Armenian:","235,253","±5,515"
"        Speak English ""very well""","133,862","±4,051"
"        Speak English less than ""very well""","101,391","±2,922"
"    Persian (incl. Farsi, Dari):","416,577","±8,148"
"        Speak English ""very well""","257,451","±5,632"
"        Speak English less than ""very well""","159,126","±3,664"
"    Gujarati:","405,998","±5,961"
"        Speak English ""very well""","266,698","±4,537"
"        Speak English less than ""very well""","139,300","±3,172"
"    Hindi:","775,313","±12,625"
"        Speak English ""very well""","617,513","±9,834"
"        Speak English less than ""very well""","157,800","±4,903"
"    Urdu:","470,505","±10,475"
"        Speak English ""very well""","332,293","±7,504"
"        Speak English less than ""very well""","138,212","±4,246"
"    Punjabi:","287,151","±7,157"
"        Speak English ""very well""","169,195","±4,485"
"        Speak English less than ""very well""","117,956","±4,277"
"    Bengali:","311,381","±6,027"
"        Speak English ""very well""","182,456","±4,382"
"        Speak English less than ""very well""","128,925","±3,881"
"    Nepali, Marathi, or other Indic languages:","381,464","±8,591"
"        Speak English ""very well""","232,907","±5,627"
"        Speak English less than ""very well""","148,557","±4,800"
"    Other Indo-European languages:","549,519","±9,356"
"        Speak English ""very well""","383,344","±6,430"
"        Speak English less than ""very well""","166,175","±4,603"
"    Telugu:","350,283","±6,778"
"        Speak English ""very well""","278,379","±5,785"
"        Speak English less than ""very well""","71,904","±2,561"
"    Tamil:","258,631","±5,722"
"        Speak English ""very well""","212,149","±4,999"
"        Speak English less than ""very well""","46,482","±2,172"
"    Malayalam, Kannada, or other Dravidian languages:","235,297","±5,139"
"        Speak English ""very well""","176,720","±4,164"
"        Speak English less than ""very well""","58,577","±2,000"
"    Chinese (incl. Mandarin, Cantonese):","3,278,063","±16,200"
"        Speak English ""very well""","1,468,876","±10,381"
"        Speak English less than ""very well""","1,809,187","±11,437"
"    Japanese:","459,212","±6,556"
"        Speak English ""very well""","265,781","±4,403"
"        Speak English less than ""very well""","193,431","±3,978"
"    Korean:","1,104,228","±12,401"
"        Speak English ""very well""","512,244","±7,316"
"        Speak English less than ""very well""","591,984","±7,680"
"    Hmong:","226,052","±4,922"
"        Speak English ""very well""","131,360","±3,614"
"        Speak English less than ""very well""","94,692","±2,948"
"    Vietnamese:","1,473,192","±15,373"
"        Speak English ""very well""","609,112","±8,958"
"        Speak English less than ""very well""","864,080","±9,473"
"    Khmer:","211,213","±5,363"
"        Speak English ""very well""","102,098","±3,167"
"        Speak English less than ""very well""","109,115","±3,292"
"    Thai, Lao, or other Tai-Kadai languages:","306,303","±6,155"
"        Speak English ""very well""","154,062","±3,685"
"        Speak English less than ""very well""","152,241","±3,850"
"    Other languages of Asia:","359,916","±8,857"
"        Speak English ""very well""","165,407","±4,759"
"        Speak English less than ""very well""","194,509","±5,484"
"    Tagalog (incl. Filipino):","1,698,847","±13,864"
"        Speak English ""very well""","1,161,377","±10,457"
"        Speak English less than ""very well""","537,470","±7,190"
"    Ilocano, Samoan, Hawaiian, or other Austronesian languages:","447,850","±7,465"
"        Speak English ""very well""","277,269","±5,580"
"        Speak English less than ""very well""","170,581","±3,627"
"    Arabic:","1,128,918","±19,452"
"        Speak English ""very well""","704,214","±14,316"
"        Speak English less than ""very well""","424,704","±8,212"
"    Hebrew:","214,611","±5,087"
