"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","301,150,892","±3,777"
"    Native population:","258,405,372","±125,310"
"        5 to 17 years:","51,511,791","±13,050"
"            Speak only English","41,418,729","±46,624"
"            Speak Spanish:","7,611,300","±35,266"
"                Speak English ""very well""","6,268,844","±39,067"
"                Speak English less than ""very well""","1,342,456","±12,321"
"            Speak other languages:","2,481,762","±16,230"
"                Speak English ""very well""","2,063,277","±16,785"
"                Speak English less than ""very well""","418,485","±5,640"
"        18 years and over:","206,893,581","±123,814"
"            Speak only English","188,647,965","±130,949"
"            Speak Spanish:","13,558,939","±26,134"
"                Speak English ""very well""","11,226,604","±25,710"
"                Speak English less than ""very well""","2,332,335","±15,174"
"            Speak other languages:","4,686,677","±15,656"
"                Speak English ""very well""","4,048,231","±16,354"
"                Speak English less than ""very well""","638,446","±6,732"
"    Foreign-born population:","42,745,520","±122,933"
"        Naturalized U.S. citizen:","20,646,730","±32,346"
"            5 to 17 years:","614,104","±7,564"
"                Speak only English","268,011","±4,875"
"                Speak Spanish:","130,243","±3,271"
"                    Speak English ""very well""","96,244","±2,717"
"                    Speak English less than ""very well""","33,999","±1,461"
"                Speak other languages:","215,850","±4,122"
"                    Speak English ""very well""","170,934","±3,499"
"                    Speak English less than ""very well""","44,916","±1,757"
"            18 years and over:","20,032,626","±30,266"
"                Speak only English","4,073,370","±18,396"
"                Speak Spanish:","6,263,486","±20,917"
"                    Speak English ""very well""","2,835,721","±13,814"
"                    Speak English less than ""very well""","3,427,765","±14,596"
"                Speak other languages:","9,695,770","±29,106"
"                    Speak English ""very well""","5,359,962","±21,000"
"                    Speak English less than ""very well""","4,335,808","±18,319"
"        Not a U.S. citizen:","22,098,790","±128,141"
"            5 to 17 years:","1,621,869","±14,428"
"                Speak only English","192,178","±4,624"
"                Speak Spanish:","801,911","±9,847"
"                    Speak English ""very well""","497,939","±7,423"
"                    Speak English less than ""very well""","303,972","±5,805"
"                Speak other languages:","627,780","±8,410"
"                    Speak English ""very well""","375,986","±6,210"
"                    Speak English less than ""very well""","251,794","±4,724"
"            18 years and over:","20,476,921","±119,016"
"                Speak only English","2,329,446","±10,853"
"                Speak Spanish:","11,403,402","±85,991"
"                    Speak English ""very well""","2,486,047","±19,035"
"                    Speak English less than ""very well""","8,917,355","±73,325"
"                Speak other languages:","6,744,073","±37,204"
"                    Speak English ""very well""","3,136,983","±14,957"
"                    Speak English less than ""very well""","3,607,090","±31,514"
