"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","322,903,030","*****"
"    Native:","279,363,531","±131,204"
"        Born in state of residence","188,455,931","±71,405"
"        Born in other state in the United States:","85,879,278","±110,022"
"            Northeast","20,365,355","±39,979"
"            Midwest","23,018,264","±45,195"
"            South","26,666,230","±45,716"
"            West","15,829,429","±36,816"
"        Born outside the United States:","5,028,322","±21,829"
"            Puerto Rico","1,764,285","±13,205"
"            U.S. Island Areas","208,910","±3,822"
"            Born abroad of American parent(s)","3,055,127","±15,840"
"    Foreign born:","43,539,499","±131,250"
"        Naturalized U.S. citizen","21,250,009","±34,139"
"            Europe","3,099,844","±14,511"
"            Asia","7,832,276","±17,884"
"            Africa","1,178,610","±11,215"
"            Oceania","103,023","±2,584"
"            Latin America","8,647,034","±27,929"
"            Northern America","388,983","±4,340"
"        Not a U.S. citizen","22,289,490","±137,142"
"            Europe","1,678,326","±11,866"
"            Asia","5,566,244","±33,927"
"            Africa","972,799","±11,383"
"            Oceania","154,318","±3,618"
"            Latin America","13,485,959","±101,832"
"            Northern America","431,411","±6,339"
