"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","303,066,180","±4,092"
"    Native population:","259,823,019","±132,493"
"        5 to 17 years:","51,496,695","±14,355"
"            Speak only English","41,329,813","±51,008"
"            Speak Spanish:","7,674,071","±39,177"
"                Speak English ""very well""","6,370,540","±43,435"
"                Speak English less than ""very well""","1,303,531","±11,647"
"            Speak other languages:","2,492,811","±16,300"
"                Speak English ""very well""","2,077,942","±17,302"
"                Speak English less than ""very well""","414,869","±4,886"
"        18 years and over:","208,326,324","±130,560"
"            Speak only English","189,632,352","±137,662"
"            Speak Spanish:","13,943,390","±26,590"
"                Speak English ""very well""","11,555,486","±26,477"
"                Speak English less than ""very well""","2,387,904","±16,315"
"            Speak other languages:","4,750,582","±18,185"
"                Speak English ""very well""","4,104,883","±18,840"
"                Speak English less than ""very well""","645,699","±6,022"
"    Foreign-born population:","43,243,161","±130,126"
"        Naturalized U.S. citizen:","21,204,855","±34,155"
"            5 to 17 years:","612,982","±7,207"
"                Speak only English","263,003","±5,230"
"                Speak Spanish:","134,259","±3,509"
"                    Speak English ""very well""","98,878","±2,853"
"                    Speak English less than ""very well""","35,381","±1,626"
"                Speak other languages:","215,720","±3,812"
"                    Speak English ""very well""","169,872","±3,374"
"                    Speak English less than ""very well""","45,848","±1,647"
"            18 years and over:","20,591,873","±32,319"
"                Speak only English","4,201,639","±16,973"
"                Speak Spanish:","6,492,666","±21,808"
"                    Speak English ""very well""","2,955,596","±15,729"
"                    Speak English less than ""very well""","3,537,070","±15,309"
"                Speak other languages:","9,897,568","±28,864"
"                    Speak English ""very well""","5,535,198","±21,788"
"                    Speak English less than ""very well""","4,362,370","±16,609"
"        Not a U.S. citizen:","22,038,306","±135,727"
"            5 to 17 years:","1,606,713","±14,642"
"                Speak only English","194,350","±3,899"
"                Speak Spanish:","769,922","±9,473"
"                    Speak English ""very well""","460,521","±6,573"
"                    Speak English less than ""very well""","309,401","±5,827"
"                Speak other languages:","642,441","±8,344"
"                    Speak English ""very well""","384,421","±6,961"
"                    Speak English less than ""very well""","258,020","±4,950"
"            18 years and over:","20,431,593","±126,088"
"                Speak only English","2,335,338","±13,871"
"                Speak Spanish:","11,241,989","±91,389"
"                    Speak English ""very well""","2,505,655","±19,168"
"                    Speak English less than ""very well""","8,736,334","±78,052"
"                Speak other languages:","6,854,266","±39,567"
"                    Speak English ""very well""","3,242,912","±16,530"
"                    Speak English less than ""very well""","3,611,354","±31,918"
