"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","303,066,180","±4,092"
"    Speak only English","237,956,495","±196,881"
"    Spanish:","40,256,297","±121,016"
"        Speak English ""very well""","23,946,676","±65,624"
"        Speak English less than ""very well""","16,309,621","±69,268"
"    French (incl. Cajun):","1,206,725","±9,396"
"        Speak English ""very well""","956,729","±8,341"
"        Speak English less than ""very well""","249,996","±4,707"
"    Haitian:","834,451","±12,869"
"        Speak English ""very well""","503,411","±9,355"
"        Speak English less than ""very well""","331,040","±6,586"
"    Italian:","590,849","±6,646"
"        Speak English ""very well""","436,524","±5,740"
"        Speak English less than ""very well""","154,325","±2,691"
"    Portuguese:","747,283","±9,318"
"        Speak English ""very well""","482,820","±6,341"
"        Speak English less than ""very well""","264,463","±5,722"
"    German:","913,869","±8,905"
"        Speak English ""very well""","777,394","±8,308"
"        Speak English less than ""very well""","136,475","±2,989"
"    Yiddish, Pennsylvania Dutch or other West Germanic languages:","493,169","±6,660"
"        Speak English ""very well""","350,622","±5,590"
"        Speak English less than ""very well""","142,547","±2,987"
"    Greek:","275,760","±5,283"
"        Speak English ""very well""","207,234","±4,451"
"        Speak English less than ""very well""","68,526","±2,113"
"    Russian:","910,989","±10,757"
"        Speak English ""very well""","514,455","±7,161"
"        Speak English less than ""very well""","396,534","±6,208"
"    Polish:","525,441","±7,494"
"        Speak English ""very well""","324,874","±5,655"
"        Speak English less than ""very well""","200,567","±3,693"
"    Serbo-Croatian:","246,213","±5,966"
"        Speak English ""very well""","160,345","±4,282"
"        Speak English less than ""very well""","85,868","±2,809"
"    Ukrainian or other Slavic languages:","328,413","±5,900"
"        Speak English ""very well""","208,954","±4,320"
"        Speak English less than ""very well""","119,459","±2,910"
"    Armenian:","234,502","±4,489"
"        Speak English ""very well""","133,804","±3,506"
"        Speak English less than ""very well""","100,698","±2,550"
"    Persian (incl. Farsi, Dari):","427,025","±8,009"
"        Speak English ""very well""","266,541","±5,601"
"        Speak English less than ""very well""","160,484","±4,131"
"    Gujarati:","408,340","±7,457"
"        Speak English ""very well""","269,734","±5,400"
"        Speak English less than ""very well""","138,606","±4,043"
"    Hindi:","818,715","±11,272"
"        Speak English ""very well""","654,342","±9,319"
"        Speak English less than ""very well""","164,373","±4,576"
"    Urdu:","475,987","±9,985"
"        Speak English ""very well""","337,545","±7,753"
"        Speak English less than ""very well""","138,442","±4,280"
"    Punjabi:","294,800","±7,703"
"        Speak English ""very well""","175,384","±4,990"
"        Speak English less than ""very well""","119,416","±4,178"
"    Bengali:","322,507","±7,115"
"        Speak English ""very well""","188,832","±4,622"
"        Speak English less than ""very well""","133,675","±4,080"
"    Nepali, Marathi, or other Indic languages:","403,878","±8,825"
"        Speak English ""very well""","249,181","±6,302"
"        Speak English less than ""very well""","154,697","±5,335"
"    Other Indo-European languages:","555,463","±8,581"
"        Speak English ""very well""","389,884","±6,575"
"        Speak English less than ""very well""","165,579","±4,421"
"    Telugu:","373,782","±6,815"
"        Speak English ""very well""","299,358","±5,628"
"        Speak English less than ""very well""","74,424","±2,629"
"    Tamil:","274,744","±6,061"
"        Speak English ""very well""","226,642","±5,220"
"        Speak English less than ""very well""","48,102","±2,167"
"    Malayalam, Kannada, or other Dravidian languages:","248,238","±4,825"
"        Speak English ""very well""","191,177","±4,031"
"        Speak English less than ""very well""","57,061","±2,280"
"    Chinese (incl. Mandarin, Cantonese):","3,347,300","±16,982"
"        Speak English ""very well""","1,520,471","±10,779"
"        Speak English less than ""very well""","1,826,829","±12,346"
"    Japanese:","456,210","±6,163"
"        Speak English ""very well""","266,034","±4,396"
"        Speak English less than ""very well""","190,176","±3,741"
"    Korean:","1,094,248","±10,328"
"        Speak English ""very well""","510,513","±6,467"
"        Speak English less than ""very well""","583,735","±5,786"
"    Hmong:","229,505","±4,679"
"        Speak English ""very well""","135,135","±3,438"
"        Speak English less than ""very well""","94,370","±2,755"
"    Vietnamese:","1,488,512","±16,614"
"        Speak English ""very well""","618,981","±9,494"
"        Speak English less than ""very well""","869,531","±10,367"
"    Khmer:","203,924","±5,305"
"        Speak English ""very well""","99,716","±3,461"
"        Speak English less than ""very well""","104,208","±3,157"
"    Thai, Lao, or other Tai-Kadai languages:","304,342","±6,211"
"        Speak English ""very well""","152,060","±3,565"
"        Speak English less than ""very well""","152,282","±4,087"
"    Other languages of Asia:","380,317","±8,550"
"        Speak English ""very well""","177,378","±4,439"
"        Speak English less than ""very well""","202,939","±5,469"
"    Tagalog (incl. Filipino):","1,716,359","±11,648"
"        Speak English ""very well""","1,181,607","±10,705"
"        Speak English less than ""very well""","534,752","±6,440"
"    Ilocano, Samoan, Hawaiian, or other Austronesian languages:","453,200","±7,216"
"        Speak English ""very well""","283,301","±5,092"
"        Speak English less than ""very well""","169,899","±4,433"
"    Arabic:","1,172,841","±20,973"
"        Speak English ""very well""","737,505","±14,431"
"        Speak English less than ""very well""","435,336","±9,346"
"    Hebrew:","214,920","±5,978"
"        Speak English ""very well""","182,078","±5,492"
"        Speak English less than ""very well""","32,842","±1,587"
"    Amharic, Somali, or other Afro-Asiatic languages:","518,612","±9,731"
"        Speak English ""very well""","293,754","±6,622"
"        Speak English less than ""very well""","224,858","±5,465"
"    Yoruba, Twi, Igbo, or other languages of Western Africa:","512,287","±8,541"
"        Speak English ""very well""","400,403","±7,037"
"        Speak English less than ""very well""","111,884","±3,584"
