"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Estimate","United States!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","United States!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Estimate","United States!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Margin of Error","United States!!Percent of specified language speakers!!Speak English  less than ""very well""!!Estimate","United States!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","United States!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","United States!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Margin of Error"
"Population 5 years and over","303,066,180","±4,092","(X)","(X)","277,418,399","±104,051","91.5%","±0.1","25,647,781","±101,522","8.5%","±0.1"
"    Speak only English","237,956,495","±196,881","78.5%","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Speak a language other than English","65,109,685","±194,539","21.5%","±0.1","39,461,904","±106,489","60.6%","±0.1","25,647,781","±101,522","39.4%","±0.1"
"    SPEAK A LANGUAGE OTHER THAN ENGLISH","","","","","","","","","","","",""
"        Spanish","40,256,297","±121,016","13.3%","±0.1","23,946,676","±65,624","59.5%","±0.1","16,309,621","±69,268","40.5%","±0.1"
"            5 to 17 years old","8,578,252","±42,160","2.8%","±0.1","6,929,939","±45,165","80.8%","±0.2","1,648,313","±12,844","19.2%","±0.2"
"            18 to 64 years old","28,177,173","±76,318","9.3%","±0.1","15,660,208","±33,591","55.6%","±0.1","12,516,965","±60,360","44.4%","±0.1"
"            65 years old and over","3,500,872","±8,897","1.2%","±0.1","1,356,529","±7,674","38.7%","±0.2","2,144,343","±11,798","61.3%","±0.2"
"        Other Indo-European languages","11,014,379","±52,114","3.6%","±0.1","7,588,609","±34,794","68.9%","±0.1","3,425,770","±25,162","31.1%","±0.1"
"            5 to 17 years old","1,489,790","±12,828","0.5%","±0.1","1,206,712","±11,549","81.0%","±0.3","283,078","±4,161","19.0%","±0.3"
"            18 to 64 years old","7,559,143","±35,302","2.5%","±0.1","5,316,316","±23,831","70.3%","±0.2","2,242,827","±18,175","29.7%","±0.2"
"            65 years old and over","1,965,446","±13,514","0.6%","±0.1","1,065,581","±7,635","54.2%","±0.3","899,865","±9,821","45.8%","±0.3"
"        Asian and Pacific Island languages","10,570,681","±25,948","3.5%","±0.1","5,662,373","±18,710","53.6%","±0.1","4,908,308","±19,051","46.4%","±0.1"
"            5 to 17 years old","1,289,978","±9,368","0.4%","±0.1","965,346","±9,146","74.8%","±0.4","324,632","±4,761","25.2%","±0.4"
"            18 to 64 years old","7,725,083","±18,872","2.5%","±0.1","4,223,792","±14,981","54.7%","±0.2","3,501,291","±15,757","45.3%","±0.2"
"            65 years old and over","1,555,620","±6,421","0.5%","±0.1","473,235","±4,531","30.4%","±0.3","1,082,385","±6,609","69.6%","±0.3"
"        Other languages","3,268,328","±31,053","1.1%","±0.1","2,264,246","±22,761","69.3%","±0.3","1,004,082","±13,308","30.7%","±0.3"
"            5 to 17 years old","571,204","±9,116","0.2%","±0.1","460,177","±8,131","80.6%","±0.5","111,027","±3,441","19.4%","±0.5"
"            18 to 64 years old","2,384,946","±21,214","0.8%","±0.1","1,634,648","±15,571","68.5%","±0.3","750,298","±11,052","31.5%","±0.3"
"            65 years old and over","312,178","±4,457","0.1%","±0.1","169,421","±3,112","54.3%","±0.7","142,757","±2,929","45.7%","±0.7"
"CITIZENS 18 YEARS AND OVER","","","","","","","","","","","",""
"    All citizens 18 years old and over","228,918,197","±132,928","(X)","(X)","217,985,154","±128,421","95.2%","±0.1","10,933,043","±23,997","4.8%","±0.1"
"        Speak only English","193,833,991","±147,017","84.7%","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Speak a language other than English","35,084,206","±42,132","15.3%","±0.1","24,151,163","±44,524","68.8%","±0.1","10,933,043","±23,997","31.2%","±0.1"
"            Spanish","20,436,056","±31,154","8.9%","±0.1","14,511,082","±26,606","71.0%","±0.1","5,924,974","±23,173","29.0%","±0.1"
"            Other languages","14,648,150","±36,700","6.4%","±0.1","9,640,081","±32,248","65.8%","±0.1","5,008,069","±16,677","34.2%","±0.1"
