"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Native!!Estimate","United States!!Native!!Margin of Error","United States!!Foreign born!!Estimate","United States!!Foreign born!!Margin of Error","United States!!Foreign born; Naturalized citizen!!Estimate","United States!!Foreign born; Naturalized citizen!!Margin of Error","United States!!Foreign born; Not a U.S. citizen!!Estimate","United States!!Foreign born; Not a U.S. citizen!!Margin of Error"
"Total population","322,903,030","*****","279,363,531","±131,204","43,539,499","±131,250","21,250,009","±34,139","22,289,490","±137,142"
"    SEX AND AGE","","","","","","","","","",""
"        Male","49.2%","±0.1","49.3%","±0.1","48.6%","±0.1","46.0%","±0.1","51.1%","±0.1"
"        Female","50.8%","±0.1","50.7%","±0.1","51.4%","±0.1","54.0%","±0.1","48.9%","±0.1"
"        Under 5 years","6.1%","±0.1","7.0%","±0.1","0.7%","±0.1","0.2%","±0.1","1.1%","±0.1"
"        5 to 17 years","16.6%","±0.1","18.4%","±0.1","5.1%","±0.1","2.9%","±0.1","7.2%","±0.1"
"        18 to 24 years","9.6%","±0.1","10.0%","±0.1","7.0%","±0.1","4.1%","±0.1","9.7%","±0.1"
"        25 to 44 years","26.4%","±0.1","24.5%","±0.1","38.6%","±0.1","28.9%","±0.1","47.9%","±0.1"
"        45 to 54 years","13.2%","±0.1","12.3%","±0.1","19.2%","±0.1","21.7%","±0.1","16.8%","±0.1"
"        55 to 64 years","12.8%","±0.1","12.6%","±0.1","14.2%","±0.1","19.0%","±0.1","9.7%","±0.1"
"        65 to 74 years","8.8%","±0.1","8.8%","±0.1","8.8%","±0.1","13.0%","±0.1","4.8%","±0.1"
"        75 to 84 years","4.5%","±0.1","4.5%","±0.1","4.7%","±0.1","7.3%","±0.1","2.1%","±0.1"
"        85 years and over","1.9%","±0.1","1.9%","±0.1","1.8%","±0.1","2.9%","±0.1","0.7%","±0.1"
"        Median age (years)","37.9","±0.1","36.1","±0.1","44.3","±0.1","51.4","±0.1","38.2","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","96.8%","±0.1","96.6%","±0.1","97.7%","±0.1","97.6%","±0.1","97.9%","±0.1"
"            White","72.7%","±0.1","76.9%","±0.1","46.3%","±0.1","44.4%","±0.1","48.1%","±0.1"
"            Black or African American","12.7%","±0.1","13.2%","±0.1","9.1%","±0.1","10.8%","±0.1","7.5%","±0.1"
"            American Indian and Alaska Native","0.8%","±0.1","0.9%","±0.1","0.4%","±0.1","0.3%","±0.1","0.5%","±0.1"
"            Asian","5.4%","±0.1","2.1%","±0.1","26.8%","±0.1","31.9%","±0.1","21.8%","±0.1"
"            Native Hawaiian and Other Pacific Islander","0.2%","±0.1","0.2%","±0.1","0.3%","±0.1","0.2%","±0.1","0.3%","±0.1"
"            Some other race","4.9%","±0.1","3.3%","±0.1","14.9%","±0.1","10.0%","±0.1","19.6%","±0.1"
"        Two or more races","3.2%","±0.1","3.4%","±0.1","2.3%","±0.1","2.4%","±0.1","2.1%","±0.1"
"        Hispanic or Latino origin (of any race)","17.8%","±0.1","13.6%","±0.1","44.8%","±0.1","33.2%","±0.1","55.9%","±0.1"
